,Open,High,Low,Close,Volume,Moeda,Subiu,Acao
0,74.15,74.16,72.56,72.83,21933700,'BRL',0,VALE3
1,72.0,73.17,71.06,73.05,22277100,'BRL',0,VALE3
2,72.95,73.64,72.31,72.8,22908800,'BRL',0,VALE3
3,70.5,70.83,67.56,67.95,57332400,'BRL',0,VALE3
4,67.5,68.49,66.65,68.37,36281800,'BRL',0,VALE3
5,30.78,31.3,30.62,31.18,10399300,'BRL',0,PETR3
6,30.99,30.99,30.37,30.57,9485700,'BRL',1,PETR3
7,30.4,31.01,30.32,30.7,8344800,'BRL',1,PETR3
8,30.32,30.35,29.57,29.72,11540600,'BRL',0,PETR3
9,29.84,30.44,29.73,30.31,5812400,'BRL',1,PETR3
10,19.71,19.79,19.4,19.57,365600,'BRL',1,ITUB3
11,19.57,19.64,19.21,19.56,475100,'BRL',1,ITUB3
12,19.44,19.72,19.41,19.51,743100,'BRL',1,ITUB3
13,19.27,19.29,18.86,19.23,474900,'BRL',1,ITUB3
14,19.31,19.71,19.15,19.61,392800,'BRL',1,ITUB3
15,33.13,33.31,32.75,32.9,7029900,'BRL',1,BBAS3
16,32.99,33.12,32.44,33.01,7352900,'BRL',1,BBAS3
17,32.8,33.09,32.51,32.65,12606400,'BRL',0,BBAS3
18,32.5,32.69,31.92,32.61,12255500,'BRL',0,BBAS3
19,32.6,33.61,32.22,33.28,12164100,'BRL',0,BBAS3
20,14.37,14.44,14.16,14.25,5229800,'BRL',1,BBDC3
21,14.26,14.38,14.03,14.21,5389000,'BRL',1,BBDC3
22,14.13,14.23,13.92,13.94,8119300,'BRL',1,BBDC3
23,13.81,13.81,13.53,13.63,10031800,'BRL',0,BBDC3
24,13.73,13.86,13.55,13.75,4039900,'BRL',1,BBDC3
25,43.82,43.91,41.78,42.25,18504300,'BRL',0,ELET3
26,42.21,43.23,41.32,42.89,14316300,'BRL',0,ELET3
27,42.6,43.85,42.46,43.19,13717500,'BRL',0,ELET3
28,42.64,43.63,42.42,43.6,11601400,'BRL',0,ELET3
29,43.61,44.2,42.48,44.05,10719000,'BRL',0,ELET3
30,8.86,8.86,8.64,8.75,149700,'BRL',0,ITSA3
31,8.75,8.76,8.63,8.65,100800,'BRL',0,ITSA3
32,8.71,8.72,8.55,8.55,236200,'BRL',0,ITSA3
33,8.6,8.63,8.45,8.6,187000,'BRL',0,ITSA3
34,8.64,8.85,8.53,8.79,147300,'BRL',0,ITSA3
35,47.44,48.21,46.97,47.87,1816700,'BRL',0,VIVT3
36,48.38,48.38,47.37,47.64,1612000,'BRL',0,VIVT3
37,47.5,47.81,47.2,47.2,1606000,'BRL',0,VIVT3
38,46.66,47.63,46.65,47.27,1596500,'BRL',0,VIVT3
39,47.45,47.69,46.84,47.18,1121200,'BRL',0,VIVT3
40,30.81,31.3,30.66,31.12,5627600,'BRL',1,JBSS3
41,31.07,31.18,30.5,30.71,5946000,'BRL',1,JBSS3
42,30.52,30.81,30.33,30.44,4974200,'BRL',1,JBSS3
43,30.03,30.88,29.91,30.6,4988200,'BRL',1,JBSS3
44,30.6,30.65,29.96,30.02,3006400,'BRL',1,JBSS3
45,24.49,24.56,23.92,24.07,7634500,'BRL',1,LREN3
46,23.97,24.69,23.95,24.18,7272500,'BRL',1,LREN3
47,24.01,25.2,23.96,24.6,18025200,'BRL',0,LREN3
48,24.38,24.88,24.24,24.74,12668700,'BRL',0,LREN3
49,24.76,25.4,24.52,25.07,11696900,'BRL',0,LREN3
50,2.55,2.69,2.51,2.63,154951808,'BRL',0,MGLU3
51,2.65,3.03,2.62,2.93,325330816,'BRL',1,MGLU3
52,2.87,2.98,2.81,2.83,284916800,'BRL',1,MGLU3
53,2.74,3.08,2.72,2.91,187600000,'BRL',0,MGLU3
54,2.97,2.99,2.75,2.78,153379696,'BRL',0,MGLU3
55,31.91,32.03,31.02,31.06,555442,'BRL',1,FBOK34
56,31.3,32.05,31.3,31.76,559533,'BRL',1,FBOK34
57,31.25,31.74,30.88,31.69,715457,'BRL',1,FBOK34
58,31.69,31.76,30.54,30.57,622949,'BRL',1,FBOK34
59,30.85,31.82,30.85,31.62,337990,'BRL',1,FBOK34
60,29.4,29.4,28.71,29.09,2100,'BRL',0,TRPL3
61,29.5,30.1,29.5,30.09,1800,'BRL',0,TRPL3
62,30.29,30.5,29.69,30.05,1000,'BRL',0,TRPL3
63,30.0,30.0,29.33,29.42,600,'BRL',1,TRPL3
64,29.42,29.51,29.33,29.33,900,'BRL',1,TRPL3
65,39.8,40.03,38.81,39.11,2392600,'BRL',0,HYPE3
66,39.11,39.83,38.95,39.47,1918800,'BRL',0,HYPE3
67,39.19,39.75,38.57,39.48,2526600,'BRL',0,HYPE3
68,39.0,39.7,38.76,39.18,1997500,'BRL',0,HYPE3
69,39.03,40.48,38.8,39.86,4143200,'BRL',1,HYPE3
70,19.77,19.95,19.5,19.72,4956900,'BRL',1,RADL3
71,19.82,20.35,19.71,20.1,6977900,'BRL',1,RADL3
72,20.04,20.49,19.77,19.9,4997700,'BRL',1,RADL3
73,19.69,20.74,19.62,20.63,9288500,'BRL',1,RADL3
74,20.7,21.0,20.44,20.85,6675900,'BRL',1,RADL3
75,7.04,7.16,6.78,6.82,10314300,'BRL',0,CVCB3
76,6.84,7.18,6.66,6.92,13466700,'BRL',0,CVCB3
77,6.84,7.18,6.78,6.82,15787200,'BRL',0,CVCB3
78,6.75,7.07,6.67,6.82,14714200,'BRL',0,CVCB3
79,6.91,6.93,6.5,6.51,13752200,'BRL',0,CVCB3
